service_name,rule_type,specialty,facility_level,tariff_amount,payment_method,conditions_count,coverage_conditions_count,exclusions_count
"Health education and wellness, counselling, and on...",policy,N/A,Level 2,900.0,Per Annum,2,1,0
"Consultation, diagnosis, and treatment",policy,N/A,Level 2,900.0,Per Annum,1,1,0
Prescribed laboratory inve sti gations,policy,N/A,Level 2,900.0,Per Annum,1,1,0
"Basic radiological examinations including X-rays, ...",policy,N/A,Level 2,900.0,Per Annum,1,1,0
"Prescription, drug administration and dispensing",policy,N/A,Level 2,900.0,Per Annum,1,1,0
Management of acute and chronic conditions for end...,policy,N/A,Level 2,900.0,Per Annum,2,1,0
"Management ofNCDs, enteric infections; neglectedtr...",policy,N/A,Level 2,900.0,Per Annum,2,1,0
"diseases ( NTDs ), STI ’ sand HIV / AIDS",policy,N/A,Private,,Not specified,1,1,0
Screening for common health conditions,policy,N/A,Private,,Not specified,1,1,0
Minor surgical procedure sand medical procedures i...,policy,N/A,Private,,Not specified,1,1,0
Immunization asper the KEPI schedule and recomme n...,policy,N/A,Private,,Not specified,1,1,0
"Reproductive, Maternal and Child Health Services a...",policy,N/A,Private,,Not specified,2,1,0
"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",policy,N/A,Not specified,,Not specified,1,1,0
"Ante-natal care, delivery by ways of normal delive...",policy,N/A,Level 2,11.0,Not specified,3,1,0
After care for the mother together with the newbor...,policy,N/A,Level 2,11.0,Not specified,3,1,0
"Midwifery, including episio tomy care and nursing ...",policy,N/A,Level 2,11.0,Not specified,3,1,0
"Operating, recovery, maternity wardand other treat...",policy,N/A,Level 2,11.0,Not specified,3,1,0
Immunisation for the newborn.,policy,N/A,Level 2,11.0,Not specified,3,1,0
"Vita minK for newborn, chlorhexidine administratio...",policy,N/A,Level 2,11.0,Not specified,3,1,0
Provision of warmth and newborn resuscitation,policy,N/A,Level 2,11.0,Not specified,3,1,0
Intra- admission and post- discharge medication.,policy,N/A,Not specified,,Not specified,1,1,0
Diagnostic laboratory tests,policy,N/A,Not specified,,Not specified,1,1,0
Administration of blood and blood products; deriva...,policy,N/A,Not specified,,Not specified,1,1,0
