page,section,scope,access_point,tariff,access_rules
1,PRIMARY HEALTHCARE FUND,,,,"➢ KES 900 per person per ➢ Each facility will be mapped to a; Health education and wellness,; annum Primary Care Network.; counselling, and ongoing support as; ➢ All registered households will be; needed.; mapped to a PCN.; ➢ Consultation, diagnosis, and; ➢ The Global budget shall be allocated; treatment; ➢ PPM: Global Budget based on the population in the PCN.; ➢ Prescribed laboratory; ➢ The Global Budget allocation to the; investigations LEVEL 2, 3 and level 4 primary; ➢ ARVs, HIV testing and PCN shall be made quarterly.; ➢ Basic radiological examinations health care referral facility; follow up tests, family ➢ Distribution of the Funds shall be; including X-rays, ultrasounds. designated by the Authority; planning commodities, anti- done at the end of the quarter based; ➢ Prescription, drug administration; malarial medication and on patient visits, weighted by disease; and dispensing; testing, anti TBs and treated.; ➢ Management of acute and chronic; testing, KEPI vaccines, as ➢ ARVs, antimalarials, anti TBs, and; conditions for endemic/local cases; provided in the guidelines, associated tests, family planning; ➢ Management of NCDs, enteric; will be offered at no cost to commodities, KEPI vaccines will be; infections; neglected tropical; the patient. provided at public facilities, and faith"
2,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,,"➢ Ante-natal care, delivery by ways of; ➢ Normal delivery - maximum stay of; normal delivery, assisted delivery; 48 hours; and caesarean section as; ➢ C-section - maximum stay of 72 hours; necessitated.; ➢ Pregnancy emergency medicines such; ➢ Aftercare for the mother together; as Tranexamic acid and magnesium; with the newborn; ➢ Normal Delivery – KES. sulphate are included.; ➢ Midwifery, including episiotomy; 11,200 ➢ PHC maternity benefits will be; care and nursing care.; ➢ Caesarean Section – KES. accessed by any Kenyan resident; ➢ Operating, recovery, maternity Level 2-3; 32,600 woman or child who is pregnant.; ward and other treatment room; ➢ Anti-D will only be provided to; charges including meals and special; ➢ PPM: Case Based Rhesus-negative mothers through; diets.; preauthorization.; ➢ Immunisation for the newborn.; ➢ In case of peripartum and postnatal; ➢ Vitamin K for newborn,; complications beyond 48 hours for; chlorhexidine administration.; normal deliveries and 72 hours for CS; ➢ Provision of warmth and newborn; deliveries, then per diem rate takes; resuscitation"
3,SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS,,,,"➢ HPV – KES. 3,600; ➢ Prostate cancer screening will only be; ➢ PSA – KES. 1,500; Screening for common cancers (breast, covered in males over 55 years.; Level 2-6 with capacity ➢ Stool for occult blood –; cervix, prostate, and colon) ➢ Colon cancer screening will only be; KES. 400; covered in males over 40 years.; ➢ Cryotherapy – KES. 3,000"
4,OPTICAL HEALTH SERVICES,,,,"Services covered include consultation; and diagnosis, preventive, restorative,; ➢ Limit: KES. 1,000 per Household; and treatment services as necessary:; ➢ Pre-authorized service.; ➢ Eye health education and; KES. 935 for Consultation and ➢ Limited to beneficiaries below 18; counselling.; Level 2-3 dispensing of eyeglasses. years.; ➢ Eye tests including fundoscopy,; ➢ Replacement of eyeglasses only after; visual acuity testing, visual field; every two years if indicated.; analysis.; ➢ Treatment of refractive errors; through eyeglasses."
4,END OF LIFE SERVICES,,,,➢ Preparation and storage of the; ➢ KES 500 per day; body in a mortuary; Where available ➢ PPM: Per Diem ➢ Limit up to 5 days; ➢ Preservation and storage of the; body in a mortuary.
4,MEDICAL INPATIENT SERVICES,,,,"Inpatient services shall include; management of disease/condition; while admitted. PPM: Per-Diem; ➢ Pre-admission evaluation. Level 3 Level 3 - KES. 2,400 ➢ Admission up to 50 days; ➢ Hospital accommodation charges,; meals and nursing care in a; general ward bed."
5,SOCIAL HEALTH INSURANCE FUND,,,,"Health education and wellness,; ➢ KES 2,000; counselling, and ongoing support as; ➢ PPM: Fee for Service –; needed ➢ Limit: 4 Visits per year per person; Fixed Fee; ➢ Consultation, diagnosis, and ➢ ARVs, antimalarials, anti TBs, and; ➢ ARVs, HIV testing and; treatment. associated tests, family planning; follow up tests, family; ➢ Prescribed laboratory Level 4-6 commodities, KEPI vaccines will be; planning commodities, anti; investigations. provided at public facilities, and faith; malarial medication and; ➢ Basic radiological examinations based & private facilities that report; testing, anti TBs and; including X-rays, ultrasounds. to the health information system.; testing, KEPI vaccines, as; ➢ Prescription, drug administration; provided in the guidelines,; and dispensing"
6,MEDICAL INPATIENT SERVICES,,,,"Inpatient services shall include; management of disease/condition; while admitted.; ➢ Pre-admission evaluation; ➢ Level 4 – KES 3,500; ➢ Hospital accommodation charges,; ➢ Level 5 – KES 4,000; meals and nursing care in a general ➢ Limit: Up to 50 days per Household; Level 4-6 ➢ Level 6 – KES 5,000; ward bed ➢ Days above that charged to ECCIF; ➢ PPM: Per Diem; ➢ Intra-admission consultation and; reviews by both general and; specialist consultants, Laboratory; investigations, medical imaging,; procedures, and medication"
7,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",,,,"Delivery by ways of normal delivery, ➢ Normal delivery - maximum stay of; assisted delivery and caesarean section 48 hours; as necessitated. ➢ C-section - maximum stay of 72; ➢ Aftercare for the mother together hours (including pregnancy; with the newborn. emergencies such as Tranexamic acid; ➢ Normal Delivery and; ➢ Midwifery, including episiotomy and magnesium sulphate); essential newborn care–; care and nursing care. ➢ SHIF maternity services will be; KES. 11,200; ➢ Operating, recovery, maternity accessed by members and their; ➢ Caesarean Section and; ward and other treatment room Level 4-6 dependants with up-to-date; essential newborn care –; charges including meals and membership.; KES. 32,600; special diets. ➢ In case of peripartum and postnatal; ➢ Immunization for the newborn. complications beyond 48 hours for; ➢ PPM: Case Based; ➢ Intra-admission and post- normal deliveries and 72 hours for CS; discharge medication. deliveries, then per diem rate takes; ➢ Diagnostic laboratory tests. effect. All claims in this category will; ➢ Administration of blood and have to undergo surveillance.; blood products; derivatives and"
9,MENTAL WELLLNESS BENEFIT PACKAGE,,,,"➢ Max. 7 outpatient visits; Outpatient Services ➢ To access the benefits, individuals; ➢ KES. 1,200 per visit must be paid-up SHA members; The mental health services cover caters ➢ PPM: Fee for service – ➢ Mental illness services will be assessed; for; Fixed rate through the SHIF and ECCI funds.; ➢ Mental Health education and Inpatient Services ➢ Diagnosis and management of; counselling. ➢ Level 4 – KES 3,500 behavioral disorders (inpatient) shall; ➢ Screening, management and referral ➢ Level 5 – KES 4,000 have a limit of up to 35 days.; for behavioral disorders, neuro- Level 3-6 ➢ Level 6 – KES 5,000 ➢ Admissions for rehabilitation for; developmental disorders, affective ➢ PPM: Per Diem drugs and substance abuse shall be; and psychoactive disorders. Rehabilitation for DSA pre-authorized.; ➢ Rehabilitation for substance related ➢ Detoxification – KES. ➢ For beneficiaries who do not; addictive disorders. 14,000 complete the three-stage program, or; ➢ Rehabilitation – KES. attain minimum stay of 45 days, SHA; 125,000 shall reimburse KES 1,000 for every; ➢ PPM: Case based day of admission up to a maximum of; 10 days."
9,SURGICAL SERVICES PACKAGE,,,,"The Surgical Package covers the below; ➢ Minor surgical procedures performed; list of surgical and non-surgical; ➢ Level 3-6 at Level 2 & 3 facilities will be funded; procedures:; PPM: Fee for Service – Fixed from the PHC fund.; ➢ Pre-operative admission and care.; ➢ Selective procurement for rate ➢ Emergency surgical procedures to; ➢ Minor, major and specialized; Cardiology, Cardiothoracic stabilize trauma and polytrauma; surgical procedures including organ; and vascular, Urology, and Schedule of tariffs annexed. patients with head, cardiac,; transplants and implants.; Transplant surgeries pulmonary, and critical limb injuries; ➢ Administration of blood and blood; within 24 hours will be covered under; products; derivatives and"
11,ONCOLOGY SERVICES,,,,"Oncology services shall entail screening; and treatment of cancers including; breast, prostate, colorectal, cervical; cancer, and childhood cancers.; ➢ Administration of Chemotherapy, ➢ Chemo administration –; Radiotherapy, Brachytherapy and KES. 5,000; Radiosurgery ➢ PET Scan – KES. 53,500; ➢ Consumables, stoma appliances, ➢ PSMA PET Scan – KES.; premeds, and post meds 64,200; ➢ Diagnosis & staging -Limit of KES.; ➢ Chemotherapy pump ➢ CT-Scan – KES. 9,600; 100,000; ➢ Routine and specialized laboratory ➢ MRI – KES. 11,000; ➢ 1st Line treatment – Limit of Kes.; investigations ➢ Bone scan – KES. 15,000; Level 4-6 400,000 from SHIF and KES.; ➢ Screening, cross-matching and ➢ Radionuclide scan – KES.; 250,000 from ECCIF; administration of blood and blood 11,000; ➢ 2nd Line treatment – KES. 650,000; products; derivatives and ➢ Brachytherapy – up to; from ECCIF; components, artificial blood KES. 40,000; products, and biological serum ➢ SBRT/SBRS – up to KES.; ➢ Treatment planning 70,000; ➢ Radioiodine therapy ➢ Radiotherapy – up to KES.; ➢ Radiological services where 3,600 per session; necessary as part of oncological; treatment planning; ➢ Management through surgical; interventions"
