fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",block,"Health education and wellness, counselling, and ongoing sup portas needed.; Consultation, diagnosis, and treatment; Pre scri bed laboratory investigations; Basic radiological examinations including X-rays, ultrasounds.; Prescription, drug administration and dispensing; Management of acute and chronic conditions for endemic / local cases; Man age men tofNCDs, enteric infections; neglectedtropical",,,900.0,,"Each facility will bemappedtoa Primary Care Network.; All reg iste red household swillbe mapped to PCN.; The Global budget shall be all ocated based on the population in the PCN.; The Global Budget all ocat ion to the PCN shall be made quarterly.; Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.; ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith","➢ KES 900 per person per annum ➢ PPM: Global Budget ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines, will be offered at no cost to the patient.","➢ Each facility will bemappedtoa Primary Care Network. ➢ All reg iste red household swillbe mapped to PCN. ➢ The Global budget shall be all ocated based on the population in the PCN. ➢ The Global Budget all ocat ion to the PCN shall be made quarterly. ➢ Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated. ➢ ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith"
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,,block,"diseases ( NTDs ), STI ’ sand HIV / AIDS; Screening for common health conditions; Minor surgical procedures and medical procedures including male circumcision.; Immuniz atio nas per the KEPI schedule and recomm ended special vaccines.; Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,,,based & private facilities that report to the health information system.,,based & private facilities that report to the health information system.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,"Ante-natal care, delivery by ways of normal delivery, assisted delivery and caes are ans ectio nas necessitated.",Normal Delivery – .,11.0,11.0,Normal delivery - maximum stay of 48 hours,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,After care for the mother together with the newborn,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,"Midwifery, including episio tomy care and nursing care.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,"Operating, recovery, maternity ward and other treatment room charges including meals and special diets.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,Immunisation for the newborn.,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,"Vitam inK for newborn, chlorhexidine administration.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2 - 3,itemized,Provision of warmth and newborn resuscitation,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant.; Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresi dent woman or child who is pregnant. ➢ Anti-D will only bepro vid edto Rhes us- negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,block,"Intra- admission and post- discharge medication.; Diagnostic laboratory tests; Administration of blood and blood products; derivatives and components, artificial blood products, and biological serum; Medical supplies and equipment, including oxygen.; Post natal family plan ning.; Man age mentof post partum infections and haemorrhage, birth traumas and conditions related to child birth.; Man age mentof neonatal conditions.; Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.; Anti-D Serum for Rhes us- negative mothers. SCREENING & MANAGEMENT OF PRE- CAN CEROUS LESIONS",,,,,"effect. All claims in this category will have to undergo surveillance.; ANC and PNCser vic eswi llbe covered under the out patient at the PHC level.; Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services.",,"effect. All claims in this category will have to undergo surveillance. ➢ ANC and PNCser vic eswi llbe covered under the out patient at the PHC level. ➢ Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdail yreb ate rates for inpatient services."
