id,specialty,intervention,tariff
1.0,Cardiology,Aortic Valvuloplasty,620000.0
2.0,Cardiology,ASD percutaneous device closure,414400.0
3.0,Cardiology,Atrial Septostomy,201600.0
4.0,Cardiology,Cardiac Resynchronization Therapy Defibrillator (CRT- D) device,504000.0
5.0,Cardiology,Cardiac Resynchronization Therapy Pacemaker (CRT-P),537600.0
6.0,Cardiology,Coronary angiography (diagnostic),78400.0
7.0,Cardiology,Coronary Angioplasty (with single or Multiple Stents),537600.0
8.0,Cardiology,Diagnostic catheterization,78400.0
9.0,Cardiology,Dual Chamber pacemaker insertion (permanent),280000.0
10.0,Cardiology,Implantable Converter Defibrillator (ICD) Dual chamber insertion Implantable Converter Defibrillator (ICD) Single,504000.0
11.0,Cardiology, chamber insertion,504000.0
12.0,Cardiology,Intra- Aortic Balloon Pump,168000.0
13.0,Cardiology,IVC Filter insertion,168000.0
14.0,Cardiology,Loop recorder - reveal link,537600.0
15.0,Cardiology,Loop recorder-reveal xt,358400.0
16.0,Cardiology,Mitral Valvoplasty,392000.0
17.0,Cardiology,PDA percutaneous device closure,414400.0
18.0,Cardiology,Peripheral Angiography,56000.0
19.0,Cardiology,Peripheral Angioplasty,280000.0
20.0,Cardiology,Pulmonary artery catheterization,78400.0
21.0,Cardiology,Pulmonary Valvoplasty,448000.0
22.0,Cardiology,Renal artery stenting,280000.0
23.0,Cardiology,Retrival of Foreign bodies,145600.0
24.0,Cardiology,Right and Left Catheterization,145600.0
25.0,Cardiology,Single Chamber pacemaker insertion (permanent),224000.0
26.0,Cardiology,Single pacemaker insertion (temporary),44800.0
27.0,Cardiology,Thoracic endovascular aortic repair (TEVAR),504000.0
28.0,Cardiology,VSD percutanoeus device closure,414400.0
29.0,Cardiothoracic and Vascular,Abdominal Aortic Aneurym Repair (Open),392000.0
30.0,Cardiothoracic and Vascular,Achalasia cardia/Diverticulum,280000.0
31.0,Cardiothoracic and Vascular,Anterior Chest Wall Mass Excision and Reconstruction,599200.0
32.0,Cardiothoracic and Vascular,Anterior Mediastinal Mass Resection,599200.0
33.0,Cardiothoracic and Vascular,Aortic Valve Replacement (AVR),1064000.0
34.0,Cardiothoracic and Vascular,Arteriovenous Malformation Resection,386400.0
35.0,Cardiothoracic and Vascular,Atrial Septal Defect Closure,784000.0
36.0,Cardiothoracic and Vascular,AV Fistula Take down,33600.0
37.0,Cardiothoracic and Vascular,Bentall's Procedure,1358000.0
38.0,Cardiothoracic and Vascular,Bidirectional Glenn Shunt,954800.0
39.0,Cardiothoracic and Vascular,Blalock Taussig (BT) Shunt,688800.0
40.0,Cardiothoracic and Vascular,Bronchopleural fistula repair,562800.0
41.0,Cardiothoracic and Vascular,Bronchoscopy and removal of FB,78400.0
42.0,Cardiothoracic and Vascular,CABG + Double Valve Replacement,1442000.0
43.0,Cardiothoracic and Vascular,CABG + MWR/AVR,1220800.0
44.0,Cardiothoracic and Vascular,Carotid Artery Endarterectomy,145600.0
