fund,service,scope,access_point,tariff_raw,access_rules
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing sup portas needed. ➢ Consultation, diagnosis, and treatment ➢ Pre scri bed laboratory investigations ➢ Basic radiological examinations including X-rays, ultrasounds. ➢ Prescription, drug administration and dispensing ➢ Management of acute and chronic conditions for endemic / local cases ➢ Man age men tofNCDs, enteric infections; neglectedtropical","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority","➢ KES 900 per person per annum ➢ PPM: Global Budget ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines, will be offered at no cost to the patient.","➢ Each facility will bemappedtoa Primary Care Network. ➢ All registered household swillbe mapped to PCN. ➢ The Global budget shall be all ocated based on the population in the PCN. ➢ The Global Budget all ocat ion to the PCN shall be made quarterly. ➢ Distributionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated. ➢ ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith"
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"diseases ( NTDs ), STI ’ sand HIV / AIDS ➢ Screening for common health conditions ➢ Minor surgical procedures and medical procedures including male circumcision. ➢ Immunizationas per the KEPI schedule and recomm ended special vaccines. ➢ Reproductive, Maternal and Child Health Services as defined by the MOH guide lines",,,based & private facilities that report to the health information system.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","➢ Ante-natal care, delivery by ways of normal delivery, assisted delivery and caes are ansectionas necessitated. ➢ After care for the mother together with the newborn ➢ Midwifery, including episio tomy care and nursing care. ➢ Operating, recovery, maternity ward and other treatmentroom charges including meals and special diets. ➢ Immunisation for the newborn. ➢ Vitam inK for newborn, chlorhexidine administration. ➢ Provision of warmth and newborn resuscitation",Level 2 - 3,"➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHC maternity benefits willbe access edbyany Kenya nresident woman or child who is pregnant. ➢ Anti-D will only beprovidedto Rhesus-negative mothers through pre author izat ion. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","➢ Intra- admission and post- discharge medication. ➢ Diagnostic laboratory tests ➢ Administration of blood and blood products; derivatives and components, artificial blood products, and biological serum ➢ Medical supplies and equipment, including oxygen. ➢ Post natal family plan ning. ➢ Man agementof post partum infections and haemorrhage, birth traumas and conditions related to child birth. ➢ Man age mentof neonatal conditions. ➢ Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth. ➢ Anti-D Serum for Rhes us- negative mothers. SCREENING & MANAGEMENT OF PRE- CAN CEROUS LESIONS",,,"effect. All claims in this category will have to undergo surveillance. ➢ ANC and PNCserviceswi llbe covered under the out patient at the PHC level. ➢ Management of complications for the newborn will be charged separately from the mother including but not limit edto sep sis, jaundice, prematurity, necrotising enterocolitis, atdailyrebate rates for inpatient services."
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES","Screening for common cancers ( breast, cervix, pro state, and colon )",Level 2 - 6 with capacity,"➢ HPV – KES. 3, 600 ➢ PSA – KES. 1, 500 ➢ Stool for occult blood – KES. 400 ➢ Cryo the rapy – KES. 3, 000",➢ Pro state cancer screening will only be covered in males over 55 years. ➢ Colon cancer screening will only be covered in males over 40 years.
PRIMARY HEALTH CARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,,"➢ Thermal Ablation – KES. 3, 000 ➢ LEEP – KES. 2, 800",➢ Screening for cervical cancer will only be covered in women between 30 - 50 years ➢ HPV screening for females aged 35 and 45 years.
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERVICES,"Services covered include consultation and diagnosis, preventive, restorative, and treatment services as necessary: ➢ Eye health education and counselling. ➢ Eye tests including fund oscopy, visual acuity testing, visual field analysis. ➢ Treatment of refractive errors through eye glasses.",Level 2 - 3,KES. 935 for Consultation and dispensing of eye glasses.,"➢ Limit: KES. 1, 000 per Household ➢ Pre- authorized service. ➢ Limited to beneficiaries below 18 years. ➢ Replacement of eye glasses only after every two years if indicated."
PRIMARY HEALTH CARE FUND,END OF LIFE SERVICES,➢ Preparation and storage of the body in mortuary ➢ Preservation and storage of the body in mortuary.,Where avail able,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
PRIMARY HEALTH CARE FUND,MEDICAL INPATIENT SERVICES,"Inpatient services shall include management of disease / condition while admitted. ➢ Pre- admission evaluation. ➢ Hospital accommodation charges, meals and nursing care in general ward bed. ➢ Intra- admission consultation and review sbyboth general and special ist consultants, Laboratory investigations, medical imaging, procedures, and medication. ➢ Bed side services including physio the rapy, occupational therapy, oxygen supply, medical consumables, and the rape utic nutritional support. ➢ Cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum. ➢ Post -dis charge medicationor follow-up within the treatment plan.",Level 3,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admission up to 50 days
SOCIAL HEALTH INSURANCE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing support as needed ➢ Consultation, diagnosis, and treatment. ➢ Pre scri bed laboratory investigations. ➢ Basic radiological examinations including X-rays, ultrasounds. ➢ Prescription, drug administration and dispensing",Level 4 - 6,"➢ KES 2, 000 ➢ PPM: Fee for Service – Fixed Fee ➢ ARVs, HIV testing and follow up tests, family plan ning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guide lines,","➢ Limit: 4 Visits per year per person ➢ ARVs, anti mal ari als, anti TBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith based & private facilities that report to the health information system."
