fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing sup portas needed.","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Consultation, diagnosis, and treatment","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,Pre scri bed laboratory investigations,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Basic radiological examinations including X-rays, ultrasounds.","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Prescription, drug administration and dispensing","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,Management of acute and chronic conditions for endemic / local cases,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"Man age men tofNCDs, enteric infections; neglectedtropical","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will bemappedtoa Primary Care Network.', 'All reg iste red household swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the population in the PCN.', 'The Global Budget all ocat ion to the PCN shall be made quarterly.', 'Dis tri but ionof the Fund sshallbe done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti mal ari als, antiTBs, and associated tests, family plan ning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,"diseases ( NTDs ), STI ’ sand HIV / AIDS",,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,Screening for common health conditions,,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTH CARE FUND,OUT PATIENT CARE SERVICES,Minor surgical procedures and medical procedures including male circumcision.,,,,,[],['based & private facilities that report to the health information system.'],block
