fund,service,access_point,scope_items,tariff_pairs,block_tariff,rules_items,rules_block,mapping_type,tariff_raw,access_rules_raw
PRIMARY HEALTH CARE FUND,OUTPAT IENT CARE SERV ICES,"LEVEL 2, 3 and level 4 primary health care refe rral faci lity design ated by the Autho rity","['Health educa tion and well ness, counsel ling, and ongoing suppo rtas needed.', 'Cons ulta tion, diagn osis, and treat ment', 'Prescri bed labora tory inve sti gations', 'Basic radi olog ical exam inat ions inclu ding X-rays, ultraso unds.', 'Pres crip tion, drug admini stra tion and dispen sing', 'Manage ment of acute and chronic condit ions for endemic / local cases', 'Manage ment ofNCDs, enteric infect ions; negle cted trop ical']","[{'label': '', 'amount': 900.0}]",900.0,"[[], [], [], [], [], [], []]","['Each faci lity will bemappe dtoa Primary Care Network.', 'All regist ered house hold swillbe mapped to PCN.', 'The Global budget shall be all ocated based on the popula tion in the PCN.', 'The Global Budget all ocation to the PCN shall be made quart erly.', 'Distri but ionof the Funds sha llbe done at the end of the quarter based on patient visits, weig hted by disease treated.', 'ARVs, anti malar ials, antiTBs, and associ ated tests, family plan ning commodi ties, KEPI vacc ines will be prov ided at public facili ties, and faith']",block,"➢ KES 900 per person per annum ➢ PPM: Global Budget ➢ ARVs, HIV testing and follow up tests, family plan ning commodi ties, anti- mala rial medica tion and testing, anti TBs and testing, KEPI vacc ines, as prov ided in the guide lines, will be offered at no cost to the patient.","➢ Each facility will bemappedtoa Primary Care Network. ➢ All registered household swillbe mapped to PCN. ➢ The Global budget shall be all ocated based on the popula tion in the PCN. ➢ The Global Budget all ocation to the PCN shall be made quart erly. ➢ Distributionofthe Funds sha llbe done at the end of the quarter based on patient visits, weig hted by disease treated. ➢ ARVs, anti malar ials, antiTBs, and associated tests, family plan ning commodi ties, KEPI vacc ines will be prov ided at public facili ties, and faith"
PRIMARY HEALTH CARE FUND,OUTPAT IENT CARE SERV ICES,,"['dise ases ( NTDs ), STI ’ sand HIV / AIDS', 'Scree ning for common health condit ions', 'Minor surg ical proce dure sand medical proced ures inclu ding male circ umci sion.', 'Immu niza tion asper the KEPI sche dule and recomme nded special vacc ines.', 'Repr oduc tive, Mate rnal and Child Health Serv ices as defined by the MOH guide lines']",[],,"[[], [], [], [], []]",['based & private facili ties that report to the health informa tion system.'],block,,based & private facili ties that report to the health informa tion system.
PRIMARY HEALTH CARE FUND,"MATER NITY, NEWBORN AND CHILD HEALTH SERV ICES",Level 2 - 3,"['Ante-n atal care, deli very by ways of normal deli very, assi sted deli very and caesa rean secti onas nece ssit ated.', 'After care for the mother toge ther with the newborn', 'Midwi fery, inclu ding episio tomy care and nursing care.', 'Opera ting, reco very, mater nity wardand other treat ment room charges inclu ding meals and special diets.', 'Immu nisa tion for the newborn.', 'Vita minK for newborn, chlor hexi dine admini stra tion.', 'Provi sion of warmth and newborn resus cita tion']","[{'label': 'Normal Deli very – .', 'amount': 11.0}, {'label': 'Caesa rean Section – .', 'amount': 32.0}]",11.0,"[['Normal deli very - maximum stay of 48 hours'], [], [], [], [], [], []]","['C-sec tion - maximum stay of 72 hours', 'Pregn ancy emerg ency medic ines such as Tranex amic acid and magne sium sulp hate are incl uded.', 'PHC mater nity bene fits willbe access edbyany Kenya nresi dent woman or child who is preg nant.', 'Anti-D will only bepr ovid edto Rhesus- nega tive mothers through prea utho riza tion.', 'In case of per ipartum and post natal compl icat ions beyond 48 hours for normal delive ries and 72 hours for CS delive ries, then per diem rate takes']",itemized,"➢ Normal Deli very – KES. 11, 200 ➢ Caesa rean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal deli very - maximum stay of 48 hours ➢ C-sec tion - maximum stay of 72 hours ➢ Pregn ancy emerg ency medic ines such as Tranex amic acid and magne sium sulp hate are incl uded. ➢ PHC maternity benefits willbe access edbyany Kenya nresident woman or child who is preg nant. ➢ Anti-D will only beprovidedto Rhesus-negative mothers through prea utho riza tion. ➢ In case of per ipartum and post natal compl icat ions beyond 48 hours for normal delive ries and 72 hours for CS delive ries, then per diem rate takes"
PRIMARY HEALTH CARE FUND,"MATER NITY, NEWBORN AND CHILD HEALTH SERV ICES",,"['Intra- admis sion and post- disch arge medica tion.', 'Diagno stic labora tory tests', 'Admini stra tion of blood and blood prod ucts; derivat ives and compon ents, artifi cial blood prod ucts, and biolog ical serum', 'Medical supp lies and equip ment, inclu ding oxygen.', 'Post natal family plan ning.', 'Manage ment ofpo stpa rtum infect ions and haemorr hage, birth traumas and condit ions related to child birth.', 'Mana geme ntof neon atal condit ions.', 'Obste tric and neon atal compl icat ions inclu ding intra- admis sion post partum / post natal infect ions and haemorr hage, birth traumas and condit ions related to child birth.', 'Anti-D Serum for Rhesus- nega tive mothers. SCREE NING & MANAGE MENT OF PRE- CANCE ROUS LESIONS']",[],,"[[], [], [], [], [], [], [], [], []]","['effect. All claims in this cate gory will have to undergo surv eill ance.', 'ANCan dPNC serv ices willbe covered under the outpat ient at the PHC level.', 'Manage ment of compl icat ions for the newborn will be charged separa tely from the mother inclu ding but not limited tose psis, jaun dice, prematu rity, necroti sing enter ocol itis, atdai lyre bate rate sforin patient serv ices.']",block,,"effect. All claims in this cate gory will have to undergo surv eill ance. ➢ ANCan dPNC services willbe covered under the outpat ient at the PHC level. ➢ Manage ment of compl icat ions for the newborn will be charged separa tely from the mother inclu ding but not limited tose psis, jaun dice, prematu rity, necroti sing enter ocol itis, atdailyrebate rate sforin patient serv ices."
PRIMARY HEALTH CARE FUND,"MATER NITY, NEWBORN AND CHILD HEALTH SERV ICES",Level 2 - 6 with capa city,"['Scree ning for common cancers ( breast, cervix, pros tate, and colon )']","[{'label': 'HPV – .', 'amount': 3.0}, {'label': 'PSA – .', 'amount': 1.0}, {'label': 'Stool for occult blood – .', 'amount': 400.0}, {'label': 'Cryo therapy – .', 'amount': 3.0}]",3.0,"[['Pros tate cancer scree ning will only be covered in males over 55 years.', 'Colon cancer scree ning will only be covered in males over 40 years.']]",[],itemized,"➢ HPV – KES. 3, 600 ➢ PSA – KES. 1, 500 ➢ Stool for occult blood – KES. 400 ➢ Cryo therapy – KES. 3, 000",➢ Pros tate cancer scree ning will only be covered in males over 55 years. ➢ Colon cancer scree ning will only be covered in males over 40 years.
PRIMARY HEALTH CARE FUND,"MATER NITY, NEWBORN AND CHILD HEALTH SERV ICES",,[],"[{'label': 'Thermal Abla tion – .', 'amount': 3.0}, {'label': 'LEEP – .', 'amount': 2.0}]",3.0,[],"['Scree ning for cerv ical cancer will only be covered in women between 30 - 50 years', 'HPV scree ning for females aged 35 and 45 years.']",block,"➢ Thermal Abla tion – KES. 3, 000 ➢ LEEP – KES. 2, 800",➢ Scree ning for cerv ical cancer will only be covered in women between 30 - 50 years ➢ HPV scree ning for females aged 35 and 45 years.
PRIMARY HEALTH CARE FUND,OPTICAL HEALTH SERV ICES,Level 2 - 3,"['Serv ices covered include cons ulta tion and diagn osis, preven tive, restora tive, and treat ment serv ices as neces sary:', 'Eye health educa tion and counsel ling.', 'Eye tests inclu ding fund oscopy, visual acuity testing, visual field anal ysis.', 'Treat ment of refrac tive errors through eye glasses.']","[{'label': '.', 'amount': 935.0}]",935.0,"[[], [], [], ['Replace ment of eye glasses only after every two years if indic ated.']]","['Limit: KES. 1, 000 per House hold', 'Pre- author ized service.', 'Limited to benef icia ries below 18 years.']",itemized,KES. 935 for Cons ulta tion and dispen sing of eye glasses.,"➢ Limit: KES. 1, 000 per House hold ➢ Pre- authorized service. ➢ Limited to benef icia ries below 18 years. ➢ Replace ment of eye glasses only after every two years if indic ated."
PRIMARY HEALTH CARE FUND,END OF LIFE SERV ICES,Where avail able,"['Prepara tion and storage of the body in mort uary', 'Pres erva tion and storage of the body in mort uary.']","[{'label': '', 'amount': 500.0}]",500.0,"[[], []]",['Limit up to 5 days'],block,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
PRIMARY HEALTH CARE FUND,MEDICAL INPAT IENT SERV ICES,Level 3,"['Inpat ient serv ices shall include manage ment of disease / condi tion while admi tted.', 'Pre- admis sion evalua tion.', 'Hosp ital accom moda tion charges, meals and nursing care in general ward bed.', 'Intra- admis sion cons ulta tion and review sbyboth general and specia list consult ants, Labora tory inve sti gations, medical imaging, proced ures, and medica tion.', 'Bed side serv ices inclu ding physio therapy, occu pati onal therapy, oxygen supply, medical consuma bles, and the rape utic nutriti onal support.', 'Cross- matc hing and admini stra tion of blood and blood prod ucts; derivat ives and compon ents, artifi cial blood prod ucts, and biolog ical serum.', 'Post - disch arge medi cati onor follo w-up within the treat ment plan.']","[{'label': 'PPM: Per- Diem Level', 'amount': 3.0}]",2.0,"[[], ['Admis sion up to 50 days'], [], [], [], [], []]",[],itemized,"PPM: Per- Diem Level 3 - KES. 2, 400",➢ Admis sion up to 50 days
SOCIAL HEALTH INSUR ANCE FUND,OUTPAT IENT CARE SERV ICES,Level 4 - 6,"['Health educa tion and well ness, counsel ling, and ongoing support as needed', 'Cons ulta tion, diagn osis, and treat ment.', 'Prescri bed labora tory inve sti gations.', 'Basic radi olog ical exam inat ions inclu ding X-rays, ultraso unds.', 'Pres crip tion, drug admini stra tion and dispen sing']","[{'label': '', 'amount': 2.0}]",2.0,"[[], [], [], [], []]","['Limit: 4 Visits per year per person', 'ARVs, anti malar ials, anti TBs, and associ ated tests, family plan ning commodi ties, KEPI vacc ines will be prov ided at public facili ties, and faith based & private facili ties that report to the health informa tion system.']",block,"➢ KES 2, 000 ➢ PPM: Fee for Service – Fixed Fee ➢ ARVs, HIV testing and follow up tests, family plan ning commodi ties, anti- mala rial medica tion and testing, anti TBs and testing, KEPI vacc ines, as prov ided in the guide lines,","➢ Limit: 4 Visits per year per person ➢ ARVs, anti malar ials, anti TBs, and associ ated tests, family plan ning commodi ties, KEPI vacc ines will be prov ided at public facili ties, and faith based & private facili ties that report to the health informa tion system."
