service_name,page_reference,evidence_snippet,pricing_kes,facility_level,full_context,extraction_method,extraction_confidence,is_free_service,source_type
designated by the Authority  ➢ KES 900 per person per,1,designated by the Authority  ➢ KES 900 per person per,900.0,"[2, 4]","infections; neglected tropical LEVEL 2, 3 and level 4 primary  health care referral facility  designated by the Authority  ➢ KES 900 per person per  annum    ",enhanced_text_extraction,0.9,False,enhanced_text
"cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600",3,"cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600",3600.0,"[2, 6]","Scope  Access Point  Tariff  Access Rules   Screening for commo n cancers (breast,  cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600   ➢ PSA – KES. 1,500   ➢ Stool for occult blood – ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ PSA – KES. 1,500",3,"➢ PSA – KES. 1,500",1500.0,"[2, 6]","Screening for commo n cancers (breast,  cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600   ➢ PSA – KES. 1,500   ➢ Stool for occult blood –  KES. 400  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Cryotherapy – KES. 3,000    ➢ Prostate cancer screening will only be",3,"➢ Cryotherapy – KES. 3,000    ➢ Prostate cancer screening will only be",3000.0,,"➢ Stool for occult blood –  KES. 400   ➢ Cryotherapy – KES. 3,000    ➢ Prostate cancer screening will only be  covered in males over 55 years.   ➢ Colon cancer screening will only be ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ LEEP – KES. 2,800  ➢ Screening for cervical cancer will only",4,"➢ LEEP – KES. 2,800  ➢ Screening for cervical cancer will only",2800.0,,"➢ Thermal Ablation – KES.  3,000   ➢ LEEP – KES. 2,800  ➢ Screening for cervical cancer will only  be covered in women between 30 -50  years  ",enhanced_text_extraction,0.9,False,enhanced_text
through eyeglasses.  Level 2 -3 KES. 935 for Consultation and,4,through eyeglasses.  Level 2 -3 KES. 935 for Consultation and,935.0,"[2, 3]","analysis.   ➢ Treatment of refractive errors  through eyeglasses.  Level 2 -3 KES. 935 for Consultation and  dispensing of eyeglasses.    ➢ Limit: KES. 1,000 per Household  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Limit: KES. 1,000 per Household",4,"➢ Limit: KES. 1,000 per Household",1000.0,"[2, 3]","through eyeglasses.  Level 2 -3 KES. 935 for Consultation and  dispensing of eyeglasses.    ➢ Limit: KES. 1,000 per Household   ➢ Pre-authorized service.   ➢ Limited to beneficiaries below 18 ",enhanced_text_extraction,0.9,False,enhanced_text
body in a mortuary.  Where available  ➢ KES 500 per day,4,body in a mortuary.  Where available  ➢ KES 500 per day,500.0,,body in a mortuary   ➢ Preservation and storage of the  body in a mortuary.  Where available  ➢ KES 500 per day   ➢ PPM: Per Diem    ➢ Limit up to 5 days  ,enhanced_text_extraction,0.9,False,enhanced_text
"and dispensing  Level 4 -6 ➢ KES 2,000",5,"and dispensing  Level 4 -6 ➢ KES 2,000",2000.0,"[4, 6]","including X -rays, ultrasounds.   ➢ Prescription, drug administration  and dispensing  Level 4 -6 ➢ KES 2,000   ➢ PPM: Fee for Service –  Fixed Fee  ",enhanced_text_extraction,0.9,False,enhanced_text
"procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500",6,"procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500",3500.0,"[4, 5, 6]","specialist consultants, Laboratory  investigations, medical imaging,  procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500   ➢ Level 5 – KES 4,000   ➢ Level 6 – KES 5,000  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Level 5 – KES 4,000",6,"➢ Level 5 – KES 4,000",4000.0,"[4, 5, 6]","investigations, medical imaging,  procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500   ➢ Level 5 – KES 4,000   ➢ Level 6 – KES 5,000   ➢  PPM: Per Diem  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Level 6 – KES 5,000",6,"➢ Level 6 – KES 5,000",5000.0,"[4, 5, 6]","procedures, and medication  Level 4 -6 ➢ Level 4 – KES 3,500   ➢ Level 5 – KES 4,000   ➢ Level 6 – KES 5,000   ➢  PPM: Per Diem    ➢ Limit: Up to 50 days per Household  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ KES. 1,200 per visit",9,"➢ KES. 1,200 per visit",1200.0,"[3, 6]","addictive disorders.    Level 3 -6 Outpatient Services   ➢ KES. 1,200 per visit   ➢ PPM: Fee for service –  Fixed rate  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Level 4 – KES 3,500",9,"➢ Level 4 – KES 3,500",3500.0,"[4, 5, 6]","Fixed rate   Inpatient Services   ➢ Level 4 – KES 3,500   ➢ Level 5 – KES 4,000   ➢ Level 6 – KES 5,000  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ PET Scan – KES. 53,500",11,"➢ PET Scan – KES. 53,500",53500.0,"[4, 6]","interventions  Level 4 -6 ➢ Chemo administration –  KES. 5,000   ➢ PET Scan – KES. 53,500   ➢ PSMA PET Scan – KES.  64,200  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ CT-Scan – KES. 9,600",11,"➢ CT-Scan – KES. 9,600",9600.0,,"➢ PSMA PET Scan – KES.  64,200   ➢ CT-Scan – KES. 9,600   ➢ MRI – KES. 11,000   ➢ Bone scan – KES. 15,000  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ MRI – KES. 11,000",11,"➢ MRI – KES. 11,000",11000.0,,"64,200   ➢ CT-Scan – KES. 9,600   ➢ MRI – KES. 11,000   ➢ Bone scan – KES. 15,000   ➢ Radionuclide scan – KES. ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ Bone scan – KES. 15,000",11,"➢ Bone scan – KES. 15,000",15000.0,,"➢ CT-Scan – KES. 9,600   ➢ MRI – KES. 11,000   ➢ Bone scan – KES. 15,000   ➢ Radionuclide scan – KES.  11,000  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ 2nd Line treatment – KES. 650,000",11,"➢ 2nd Line treatment – KES. 650,000",650000.0,,"400,000 from SHIF and KES.  250,000 from ECCIF   ➢ 2nd Line treatment – KES. 650,000  from ECCIF   --- PAGE 12 ---",enhanced_text_extraction,0.9,False,enhanced_text
"➢ MRI – KES 11,000",12,"➢ MRI – KES 11,000",11000.0,[4],"purchased from GOK Level  IV-V hospitals.    ➢ MRI – KES 11,000   ➢ CT scans – KES 9,600   ➢ CT Angio – KES 8,000  ",enhanced_text_extraction,0.9,False,enhanced_text
"➢ CT scans – KES 9,600",12,"➢ CT scans – KES 9,600",9600.0,,"IV-V hospitals.    ➢ MRI – KES 11,000   ➢ CT scans – KES 9,600   ➢ CT Angio – KES 8,000   ➢ Fluoroscopy – KES 4,000  ",enhanced_text_extraction,0.9,False,enhanced_text
