service_name,service_id,specialty,tariff_kes,page_reference,evidence_snippet,extraction_method,extraction_confidence,source_type,in_tariff_section
DCR/Fistulectomy,434,Ophthalmic,145600,40,"434: DCR/Fistulectomy - 145,600",annex_table_extraction,0.95,annex_table,
Ectropion repair minor and major,435,Ophthalmic,39200,40,"435: Ectropion repair minor and major - 39,200",annex_table_extraction,0.95,annex_table,
Entropion repair minor and major,436,Ophthalmic,39200,40,"436: Entropion repair minor and major - 39,200",annex_table_extraction,0.95,annex_table,
Epiblepharon repair,437,Ophthalmic,39200,40,"437: Epiblepharon repair - 39,200",annex_table_extraction,0.95,annex_table,
Evisceration + implant,438,Ophthalmic,44800,40,"438: Evisceration + implant - 44,800",annex_table_extraction,0.95,annex_table,
Flourescein Angiography,439,Ophthalmic,22400,40,"439: Flourescein Angiography - 22,400",annex_table_extraction,0.95,annex_table,
Intraocular lens exchange,440,Ophthalmic,33600,40,"440: Intraocular lens exchange - 33,600",annex_table_extraction,0.95,annex_table,
Intraocular lens redialing,441,Ophthalmic,11200,40,"441: Intraocular lens redialing - 11,200",annex_table_extraction,0.95,annex_table,
Intravitreal Antibiotics/Steroid,442,Ophthalmic,7840,40,"442: Intravitreal Antibiotics/Steroid - 7,840",annex_table_extraction,0.95,annex_table,
Intravitreal AntiFungal Injection,443,Ophthalmic,11200,40,"443: Intravitreal AntiFungal Injection - 11,200",annex_table_extraction,0.95,annex_table,
Intravitreal Bevazicumab,444,Ophthalmic,11200,40,"444: Intravitreal Bevazicumab - 11,200",annex_table_extraction,0.95,annex_table,
Intravitreal Dexamethasone implant,445,Ophthalmic,84000,40,"445: Intravitreal Dexamethasone implant - 84,000",annex_table_extraction,0.95,annex_table,
Intravitreal Triamcinolone,446,Ophthalmic,7840,40,"446: Intravitreal Triamcinolone - 7,840",annex_table_extraction,0.95,annex_table,
Iridolysis,447,Ophthalmic,22400,40,"447: Iridolysis - 22,400",annex_table_extraction,0.95,annex_table,
Lacrimal glands prolapse repair,448,Ophthalmic,56000,40,"448: Lacrimal glands prolapse repair - 56,000",annex_table_extraction,0.95,annex_table,
Lacrimal Probing and Syringing (adults),449,Ophthalmic,16800,40,"449: Lacrimal Probing and Syringing (adults) - 16,800",annex_table_extraction,0.95,annex_table,
Lacrimal Probing and Syringing (pediatrics),450,Ophthalmic,33600,40,"450: Lacrimal Probing and Syringing (pediatrics) - 33,600",annex_table_extraction,0.95,annex_table,
Laser suturelysis,451,Ophthalmic,11200,40,"451: Laser suturelysis - 11,200",annex_table_extraction,0.95,annex_table,
Lash electrolysis,452,Ophthalmic,11200,40,"452: Lash electrolysis - 11,200",annex_table_extraction,0.95,annex_table,
Lid splitting +cryotherapy,453,Ophthalmic,33600,40,"453: Lid splitting +cryotherapy - 33,600",annex_table_extraction,0.95,annex_table,
Lid tumour Excision biopsy,455,Ophthalmic,46000,41,"455: Lid tumour Excision biopsy - 46,000",annex_table_extraction,0.95,annex_table,
Lid tumour Incision biopsy,456,Ophthalmic,46000,41,"456: Lid tumour Incision biopsy - 46,000",annex_table_extraction,0.95,annex_table,
Macula Hole Surgery,457,Ophthalmic,224000,41,"457: Macula Hole Surgery - 224,000",annex_table_extraction,0.95,annex_table,
OCT Angiography,458,Ophthalmic,7840,41,"458: OCT Angiography - 7,840",annex_table_extraction,0.95,annex_table,
OCT Anterior,459,Ophthalmic,3360,41,"459: OCT Anterior - 3,360",annex_table_extraction,0.95,annex_table,
OCT Posterior,460,Ophthalmic,3360,41,"460: OCT Posterior - 3,360",annex_table_extraction,0.95,annex_table,
Ocular prosthesis,461,Ophthalmic,11200,41,"461: Ocular prosthesis - 11,200",annex_table_extraction,0.95,annex_table,
Orbital implant removal,462,Ophthalmic,22400,41,"462: Orbital implant removal - 22,400",annex_table_extraction,0.95,annex_table,
Orbitotomy (lateral/anterior),463,Ophthalmic,112000,41,"463: Orbitotomy (lateral/anterior) - 112,000",annex_table_extraction,0.95,annex_table,
Penetrating Keratoplasty (PKP),464,Ophthalmic,257600,41,"464: Penetrating Keratoplasty (PKP) - 257,600",annex_table_extraction,0.95,annex_table,
Photodocumentation,465,Ophthalmic,3360,41,"465: Photodocumentation - 3,360",annex_table_extraction,0.95,annex_table,
Posterior Victrectomy - Foreign Body,466,Ophthalmic,145600,41,"466: Posterior Victrectomy - Foreign Body - 145,600",annex_table_extraction,0.95,annex_table,
Posterior Victrectomy - Sunk Nucleus,467,Ophthalmic,145600,41,"467: Posterior Victrectomy - Sunk Nucleus - 145,600",annex_table_extraction,0.95,annex_table,
