gap_id,gap_category,gap_type,coverage_priority,description,kenya_context,who_essential_services,coverage_analysis,clinical_integration,interventions,implementation,detection_method,analysis_type,pdf_page_sources,validation_ready,discovered_at,run_number,unique_id
COVERAGE_SERVICE_1,service_category,preventive_service_availability,HIGH,Inadequate reach of routine immunization services in hard-to-reach and arid counties resulting in pockets of low vaccine coverage and high dropout rates (including continuity of cold chain and outreach microplanning).,"{'service_delivery_platform': 'Level 1 (community outreach), Level 2-3 (dispensaries, health centres)', 'population_impact': 'Infants and young children in arid/rural counties, nomadic populations, and urban informal settlements', 'geographic_scope': 'Northern arid counties (Marsabit, Turkana, Mandera), select informal settlements in Nairobi and Mombasa', 'current_coverage_level': 'Estimated national average 80%+ for core vaccines; affected pockets 40–65%'}","Preventive services (immunization, outreach)","{'service_availability': 'Limited', 'geographic_accessibility': 'Poor', 'financial_accessibility': 'Affordable (no user fees) but indirect costs high', 'quality_adequacy': 'Suboptimal (cold chain interruptions, incomplete records)'}","Complements child health clinical gaps (acute respiratory infections, malnutrition) by targeting prevention and early protection rather than clinical treatment.","{'immediate_coverage_expansion': ['Targeted outreach microplans with mobile clinics for high-risk sub-counties', 'Strengthen cold chain with solar vaccine refrigerators and contingency stocks', 'Rapid catch-up campaigns in identified low-coverage wards'], 'service_integration_opportunities': ['Integrate growth monitoring, nutrition screening and WASH messaging during immunization outreach', 'Link CHVs to defaulter tracing and immunization data reporting'], 'infrastructure_requirements': ['Solar cold chain units at Level 2-3 facilities', 'Transport (motorbikes/boats) for outreach teams', 'Digital immunization registry access at facility and CHV level']}","{'county_integration': 'County EPI microplanning, allocate outreach budgets, coordinate with ASAL (arid) county health teams and community leaders.', 'funding_mechanisms': 'PHC Fund for outreach operations; targeted SHIF performance payments tied to coverage improvements; donor bridging funds for cold chain capital spend.', 'timeline_realistic': '6–18 months (rapid scale-up of outreach and cold chain; full coverage improvement 18–36 months)'}",ai_coverage_analysis,comprehensive_coverage,"['Pages 1-18 (Policy Structure)', 'Pages 19-54 (Annex Procedures)']",True,2025-08-27T19:50:34.553423,2,GAP_008
COVERAGE_SERVICE_2,service_category,screening_service_coverage,HIGH,"Limited systematic screening for hypertension, diabetes and cervical pre-cancer at primary care, resulting in late diagnosis and increased burden on secondary/tertiary services.","{'service_delivery_platform': 'Level 2-3 primary care; referral linkage to Level 4', 'population_impact': 'Adults (30+), especially low-income urban and rural populations with limited access to routine care', 'geographic_scope': 'Nationwide, with lower screening penetration in rural and informal urban settlements', 'current_coverage_level': 'Estimated screening coverage for hypertension/diabetes at PHC: 25–40%'}",Preventive services (NCD screening and early detection),"{'service_availability': 'Limited', 'geographic_accessibility': 'Limited in rural/remote areas', 'financial_accessibility': 'Often affordable but indirect costs and user fees for diagnostics vary', 'quality_adequacy': 'Suboptimal (inconsistent equipment, limited training)'}",Relates to NCD clinical burden but differs by focusing on early detection services and PHC-level capacity rather than tertiary treatment.,"{'immediate_coverage_expansion': ['Provision of validated BP machines and glucometers to Level 2-3 facilities', 'Task-shifting protocols for nurse-led screening and treatment initiation', 'Community screening days led by CHVs with referral pathways'], 'service_integration_opportunities': ['Integrate screening into existing maternal and child health contacts and outpatient visits', 'Link screening with health education and referral coordination within PHC'], 'infrastructure_requirements': ['Basic diagnostic kits and supplies at PHC', 'Training and supervision modules', 'Data capture tools for screening and follow-up']}","{'county_integration': 'County NCD plans to include PHC screening KPIs; embed screening in routine PHC performance contracts.', 'funding_mechanisms': 'PHC Fund for equipment and recurrent supplies; SHIF performance incentives for meeting screening targets; county health budgets for training.', 'timeline_realistic': '6–24 months (equipment + training quickly; full system maturity 24–36 months)'}",ai_coverage_analysis,comprehensive_coverage,['Pages 19-54 (Annex Procedures)'],True,2025-08-27T19:50:34.560297,2,GAP_009
COVERAGE_SERVICE_3,service_category,health_promotion_and_prevention,MEDIUM,"Weak, underfunded health promotion systems at community and primary care levels for behavior change (tobacco, alcohol, diet, physical activity), limiting population-level NCD risk reduction.","{'service_delivery_platform': 'Level 1 (CHVs), Level 2-3 (health centres), county health promotion units', 'population_impact': 'General adult population, adolescents in urban areas, communities with rising obesity and tobacco use', 'geographic_scope': 'Nationwide with urban hotspots', 'current_coverage_level': 'Estimated active, structured health promotion coverage: 20–35%'}","Preventive services (health promotion, risk factor reduction)","{'service_availability': 'Limited', 'geographic_accessibility': 'Variable (better in counties with active public health units)', 'financial_accessibility': 'Generally free but dependent on program budgets', 'quality_adequacy': 'Suboptimal (infrequent, not evidence-based, limited monitoring)'}",Supports NCD screening and chronic disease management by reducing incidence; differs from clinical gaps by addressing upstream prevention.,"{'immediate_coverage_expansion': ['Funded CHV-led behaviour change campaigns in priority wards', 'School-based health promotion programmes (nutrition, physical activity)', 'Mass-media risk reduction campaigns tailored regionally'], 'service_integration_opportunities': ['Link health promotion with immunization, FP, and outpatient visits', 'Coordinate with county education and agriculture sectors for multisectoral messaging'], 'infrastructure_requirements': ['Dedicated county health promotion officers and training', 'IEC materials and community outreach transport', 'Monitoring indicators in DHIS2']}","{'county_integration': 'Counties to include health promotion budgets and cross-sectoral workplans; deploy community engagement strategies.', 'funding_mechanisms': 'PHC Fund for prevention; SHIF can include outcome-linked incentives; county health promotion budgets.', 'timeline_realistic': '6–24 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.573434,2,GAP_010
COVERAGE_SERVICE_4,service_category,rehabilitative_service_availability,HIGH,"Insufficient general rehabilitative services (physiotherapy, occupational therapy, prosthetics, community-based rehabilitation) beyond select urban centres.","{'service_delivery_platform': 'Level 2-3 (basic physiotherapy), Level 4-6 (specialist rehab centres), community-based rehabilitation at Level 1', 'population_impact': 'Post-injury patients, stroke survivors, people with disabilities, older adults', 'geographic_scope': 'Concentrated in urban counties (Nairobi, Mombasa, Kisumu); sparse in remote/rural counties', 'current_coverage_level': 'Estimated access to basic rehab services: 20–30% nationally; prosthetic access <10% in rural areas'}","Rehabilitative services (post-acute rehab, assistive devices)","{'service_availability': 'Limited', 'geographic_accessibility': 'Poor outside urban centres', 'financial_accessibility': 'Expensive (out-of-pocket for devices and private therapy sessions)', 'quality_adequacy': 'Variable; few qualified therapists in counties'}",Complements surgical and injury clinical gaps by ensuring post-operative and post-acute recovery; differs by focusing on continuity of function and social inclusion.,"{'immediate_coverage_expansion': ['Train and deploy mid-level rehab cadres to Level 3 facilities', 'Procure basic rehabilitation equipment for county hospitals and HCs', 'Establish CBR programs linked to CHVs'], 'service_integration_opportunities': ['Include rehab plans in discharge protocols from surgical and trauma services', 'Link assistive device provision with disability databases and social protection'], 'infrastructure_requirements': ['Rehab units in Level 4 hospitals and basic therapy rooms in Level 3', 'Supply chain for assistive devices and consumables', 'Tele-rehab platforms for remote follow-up']}","{'county_integration': 'Counties to incorporate rehab services in essential county health services; partner with NGOs for CBR scale-up.', 'funding_mechanisms': 'PHC Fund for staffing and equipment at Level 3; SHIF coverage for accredited rehab services at Level 4-6; donor support for prosthetics scale-up.', 'timeline_realistic': '12–36 months'}",ai_coverage_analysis,comprehensive_coverage,"['Pages 1-18 (Policy Structure)', 'Pages 19-54 (Annex Procedures)']",True,2025-08-27T19:50:34.579621,2,GAP_011
COVERAGE_SERVICE_5,service_category,palliative_care_coverage,MEDIUM,"Limited availability of palliative care (pain management, symptom control, psychosocial support) at primary and county levels leading to poor end-of-life care and high symptom burden.","{'service_delivery_platform': 'Primarily Level 4-6 tertiary hospices; sparse Level 2-3 provision', 'population_impact': 'Patients with advanced cancers, NCDs, HIV/AIDS, chronic organ failure, and terminal illnesses', 'geographic_scope': 'Concentrated in urban centres (Nairobi, coastal), limited in rural counties', 'current_coverage_level': 'Estimated formal palliative service access <20% nationally'}",Palliative services,"{'service_availability': 'Limited', 'geographic_accessibility': 'Poor outside major towns', 'financial_accessibility': 'Often requires out-of-pocket payments for home-based services', 'quality_adequacy': 'Suboptimal (limited opioid availability and trained staff)'}",Complements cancer and chronic disease clinical gaps by focusing on symptom relief and quality of life rather than curative care.,"{'immediate_coverage_expansion': ['Train PHC nurses in basic palliative care and opioid prescribing where allowed', 'Establish home-based palliative care teams linked to CHVs', 'Ensure essential palliative medicines on county formularies'], 'service_integration_opportunities': ['Integrate palliative screening into outpatient and inpatient chronic disease clinics', 'Link with HIV and oncology services for shared care plans'], 'infrastructure_requirements': ['Palliative care kits, pain management supply chain, training modules', 'Referral and teleconsultation support from tertiary palliative teams']}","{'county_integration': 'Counties to include palliative indicators in county health priority plans and ensure opioid supply chains within regulatory frameworks.', 'funding_mechanisms': 'PHC Fund for training and CHV-linked home care; SHIF coverage for facility-based palliative consultations; emergency/chronic illness fund for high-cost palliative medicines.', 'timeline_realistic': '12–36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.589883,2,GAP_012
COVERAGE_POPULATION_6,population_group,adolescent_health_service_gap,HIGH,"Limited adolescent-friendly services (sexual and reproductive health, mental health first-line, substance abuse counselling) within PHC and schools leading to unmet needs and poor health-seeking behaviour.","{'service_delivery_platform': 'Level 1 (school/CHV outreach), Level 2-3 (youth-friendly corners), Level 4 for referrals', 'population_impact': 'Adolescents (10–19 years), particularly out-of-school youth and urban slum residents', 'geographic_scope': 'Nationwide; hotspots in informal settlements and high school dropout areas', 'current_coverage_level': 'Estimated adolescent-friendly service coverage: 20–35%'}",Preventive and curative services targeted to adolescents,"{'service_availability': 'Limited', 'geographic_accessibility': 'Variable (some counties with youth-friendly corners, many without)', 'financial_accessibility': 'Moderately affordable but confidentiality/acceptability barriers reduce access', 'quality_adequacy': 'Suboptimal (staff not trained in adolescent care)'}",Complements child and mental health clinical priorities by emphasizing life-course preventive and early-intervention services rather than specialized care.,"{'immediate_coverage_expansion': ['Establish youth-friendly service points at Level 3 facilities and selected Level 2 clinics', 'Train health workers in adolescent counselling and confidentiality', 'School-based SRH and mental health screening programmes'], 'service_integration_opportunities': ['Integrate adolescent SRH with immunization and nutrition outreach', 'Link to community-based psychosocial support and referral pathways'], 'infrastructure_requirements': ['Private consultation spaces in PHC, adolescent IEC materials, referral directories', 'Telehealth platforms for adolescent counselling']}","{'county_integration': 'Counties to designate adolescent focal points and include youth indicators in performance contracts.', 'funding_mechanisms': 'PHC Fund for facility modifications and CHV outreach; SHIF to reimburse accredited youth-friendly services; partnerships with education sector and donors.', 'timeline_realistic': '6–18 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.605816,2,GAP_013
COVERAGE_POPULATION_7,population_group,geriatric_care_gap,MEDIUM,"Absence of structured geriatric services (comprehensive geriatric assessment, dementia care, long-term care support) within county and primary care systems.","{'service_delivery_platform': 'Level 2-3 (basic chronic care), Level 4 (geriatric clinics), community support via CHVs', 'population_impact': 'Older adults (60+), families providing long-term care, patients with multimorbidity', 'geographic_scope': 'Nationwide; counselling and home-based care sparse outside urban counties', 'current_coverage_level': 'Estimated access to geriatric-appropriate services: <15%'}",Curative and rehabilitative services for older adults,"{'service_availability': 'Limited', 'geographic_accessibility': 'Poor', 'financial_accessibility': 'Often expensive due to long-term care needs', 'quality_adequacy': 'Suboptimal (limited workforce skills)'}","Addresses life-course continuity for chronic disease management and rehabilitation, distinct from acute clinical care gaps.","{'immediate_coverage_expansion': ['Train PHC clinicians in geriatric assessment and polypharmacy management', 'Develop home-based care models linked to elder support groups and CHVs', 'Pilot memory clinics and caregiver support services in county hospitals'], 'service_integration_opportunities': ['Integrate geriatric screening within NCD clinics and community outreach', 'Link social protection services to health referrals for long-term care'], 'infrastructure_requirements': ['Basic rehabilitation aids for older adults, home care kits, telehealth support for caregiver training']}","{'county_integration': 'Counties to include elder care in HSS plans; partner with social services and NGOs for home-based care.', 'funding_mechanisms': 'PHC Fund for capacity building and CHV support; SHIF reimbursements for geriatric clinic visits at Level 4; county social protection co-financing.', 'timeline_realistic': '12–36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.614818,2,GAP_014
COVERAGE_POPULATION_8,population_group,disability_and_assistive_devices_gap,HIGH,"Poor access to disability-inclusive services and assistive devices (hearing aids, wheelchairs, prostheses), limited CBR scale-up and weak linkages to social protection.","{'service_delivery_platform': 'Level 2-4 for basic services, specialized prosthetic services concentrated at Level 5-6 and NGOs', 'population_impact': 'Persons with disabilities, children with congenital conditions, post-injury amputees', 'geographic_scope': 'Services concentrated in urban centres; rural counties underserved', 'current_coverage_level': 'Estimated assistive device access <20% nationally; CBR coverage variable 10–25%'}",Rehabilitative and assistive technology services,"{'service_availability': 'Limited', 'geographic_accessibility': 'Poor', 'financial_accessibility': 'Expensive (high OOP for devices)', 'quality_adequacy': 'Variable; few certified orthotists/prosthetists in counties'}",Complements surgical and injury rehab but focuses on social inclusion and assistive technology rather than acute clinical care.,"{'immediate_coverage_expansion': ['National procurement framework for basic assistive devices with county distribution', 'Scale CBR through CHV training and financing', 'Subsidize essential devices through SHIF/PHC mechanisms'], 'service_integration_opportunities': ['Link device provision to hospital discharge planning after trauma/surgery', 'Coordinate with social protection for means-tested subsidies'], 'infrastructure_requirements': ['County-level fitting centres, supply chain for consumables, trained mid-level technicians']}","{'county_integration': 'Counties to budget for assistive device lists and establish referral and maintenance services.', 'funding_mechanisms': 'PHC Fund for CBR and distribution; SHIF coverage for devices through accredited suppliers; donor/NGO partnerships for technical assist.', 'timeline_realistic': '12–36 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.628040,2,GAP_015
COVERAGE_CARELEVEL_9,care_level,primary_care_diagnostics_gap,HIGH,"Limited basic laboratory and imaging diagnostics (urinalysis, malaria RDTs, basic microscopy, point-of-care HbA1c/Glucose) at Level 2-3 resulting in poor case management and over-referral.","{'service_delivery_platform': 'Level 2-3 facilities and community outreach', 'population_impact': 'General outpatient population, pregnant women, children, NCD patients', 'geographic_scope': 'Nationwide; greater gaps in rural and remote facilities', 'current_coverage_level': 'Estimated basic diagnostics availability at Level 2: 30–50%; Level 3: 50–70%'}",Curative services (basic diagnostics and investigations),"{'service_availability': 'Limited', 'geographic_accessibility': 'Limited in remote facilities', 'financial_accessibility': 'Often affordable but inconsistent due to stock-outs', 'quality_adequacy': 'Suboptimal (equipment calibration, QA lacking)'}","Supports clinical case management, reduces delays to diagnosis (complements clinical priority gaps such as child respiratory infections but focuses on diagnostic capacity rather than treatment protocols).","{'immediate_coverage_expansion': ['Supply basic POCT labs and QA kits to Level 2-3 and training for staff', 'Implement specimen transport networks to county labs for higher-complexity tests', 'Introduce maintenance contracts for equipment'], 'service_integration_opportunities': ['Integrate diagnostics with PHC NCD screening and maternal services', 'Use CHVs for community-level screening and sample collection'], 'infrastructure_requirements': ['POCT devices, cold storage for reagents, specimen transport logistics, DHIS2 lab reporting']}","{'county_integration': 'County health labs to map gaps and prioritize Level 3 facilities for basic labs; include in county accreditation standards.', 'funding_mechanisms': 'PHC Fund for POCT purchase and consumables; SHIF reimbursements for diagnostics performed at accredited PHC; partnerships with national lab programs.', 'timeline_realistic': '6–24 months'}",ai_coverage_analysis,comprehensive_coverage,['Pages 1-18 (Policy Structure)'],True,2025-08-27T19:50:34.640765,2,GAP_016
COVERAGE_CARELEVEL_10,care_level,essential_surgical_capacity_at_county_level,HIGH,"Inadequate capacity at Level 4 county hospitals to deliver basic essential surgical procedures (lack of theatre staffing, anaesthesia, sterilisation, blood transfusion capacity), increasing referrals and delays.","{'service_delivery_platform': 'Level 4 county hospitals, surgical outreach at Level 3', 'population_impact': 'Rural and peri-urban populations requiring Bellwether procedures and emergency surgery', 'geographic_scope': 'Most counties have at least one Level 4, but functional surgical capacity varies widely — greater deficits in smaller/rural counties', 'current_coverage_level': 'Estimated functional essential surgical capacity in county hospitals: 40–60%'}",Curative services (surgical care and anaesthesia),"{'service_availability': 'Limited', 'geographic_accessibility': 'Variable; rural patients often travel far', 'financial_accessibility': 'Expensive when referred to tertiary private hospitals', 'quality_adequacy': 'Suboptimal (equipment gaps, staff shortages)'}","Overlaps with specialist distribution concerns but focuses on ensuring basic, timely surgical access at county hospitals rather than tertiary specialist concentration.","{'immediate_coverage_expansion': ['Targeted investment in theatre refurbishment, sterilisation and oxygen systems at priority Level 4 hospitals', 'Deploy surgical outreach teams and task-sharing (clinical officers with surgical training)', 'Strengthen blood transfusion readiness (cold chain, supply)'], 'service_integration_opportunities': ['Integrate emergency obstetric surgical capacity strengthening with broader essential surgery investments', 'Use tele-mentoring from tertiary centres for complex cases'], 'infrastructure_requirements': ['Functional theatres, safe anaesthesia equipment, sterilisation units, reliable power and oxygen']}","{'county_integration': 'Counties prioritize functional surgical capacity in HR and infrastructure plans; pooled procurement for surgical supplies.', 'funding_mechanisms': 'SHIF significant role for reimbursing essential surgical packages at Level 4; PHC Fund for facility upgrades; Emergency/Chronic Fund for capital critical illness investments.', 'timeline_realistic': '12–36 months'}",ai_coverage_analysis,comprehensive_coverage,"['Pages 1-18 (Policy Structure)', 'Pages 19-54 (Annex Procedures)']",True,2025-08-27T19:50:34.657281,2,GAP_017
