fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",block,"Health education and wellness, counselling, and ongoing support as needed.; Consultation, diagnosis, and treatment; Prescribed laboratory investigations; Basic radiologicalexaminations including X-rays, ultrasounds.; Prescription, drug administration and dispensing; Management of acute and chronic conditions for endemic / local cases; Management of NCDs, enteric infections; neglected tropical",,,900.0,,"Each facility will be mapped to a Primary Care Network.; All registered households will be mapped to a PCN.; The Global budget shall be allocated based on the population in the PCN.; The Global Budget allocation to the PCN shall be made quarterly.; Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.; ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith","➢ KES 900 per person per annum ➢ PPM: Global Budget ➢ ARVs, HIV testing and follow up tests, family planning commodities, anti- malarial medication and testing, anti TBs and testing, KEPI vaccines, as provided in the guidelines, will be offered at no cost to the patient.","➢ Each facility will be mapped to a Primary Care Network. ➢ All registered households will be mapped to a PCN. ➢ The Global budget shall be allocated based on the population in the PCN. ➢ The Global Budget allocation to the PCN shall be made quarterly. ➢ Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated. ➢ ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith"
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,,block,"diseases(NTDs), STI’sand HIV / AIDS; Screeningforcommonhealth conditions; Minorsurgicalproceduresand medical procedures including male circumcision.; ImmunizationaspertheKEPI scheduleandrecommended special vaccines.; Reproductive, Maternal and Child Health Services as defined by the MOH guidelines",,,,,based & private facilities that report to the health information system.,,based & private facilities that report to the health information system.
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,"Ante-natal care, delivery by ways of normal delivery, assisted delivery andcaesareansectionas necessitated.",Normal Delivery – .,11.0,11.0,Normal delivery - maximum stay of 48 hours,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,Aftercare for the mother together with the newborn,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,"Midwifery, includingepisiotomy care and nursing care.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,"Operating, recovery, maternity wardandothertreatmentroom charges including meals and special diets.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,Immunisation for the newborn.,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,"VitaminKfornewborn, chlorhexidine administration.",,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",Level 2-3,itemized,Provision of warmth and newborn resuscitation,,,11.0,,"C-section - maximum stay of 72 hours; Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included.; PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant.; Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes","➢ Normal Delivery – KES. 11, 200 ➢ Caesarean Section – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section - maximum stay of 72 hours ➢ Pregnancy emergency medicines such as Tranexamic acid and magnesium sulphate are included. ➢ PHCmaternitybenefitswillbe accessedbyanyKenyanresident woman or child who is pregnant. ➢ Anti-Dwillonlybeprovidedto Rhesus-negativemothersthrough preauthorization. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes"
PRIMARY HEALTHCARE FUND,"MATERNITY, NEWBORN AND CHILD HEALTH SERVICES",,block,"Intra-admissionandpost- discharge medication.; Diagnostic laboratory tests; Administration of blood and blood products; derivativesand components, artificialblood products, and biological serum; Medical supplies andequipment, including oxygen.; Postnatal family planning.; Managementofpostpartum infections and haemorrhage, birth traumas and conditions related to childbirth.; Managementofneonatal conditions.; Obstetricandneonatal complicationsincludingintra- admissionpostpartum / postnatal infections and haemorrhage, birth traumas and conditions related to childbirth.; Anti-D Serum for Rhesus-negative mothers. SCREENING & MANAGEMENT OF PRE-CANCEROUS LESIONS",,,,,"effect. All claims in this category will have to undergo surveillance.; ANCandPNCserviceswillbe covered under the outpatient at the PHC level.; Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services.",,"effect. All claims in this category will have to undergo surveillance. ➢ ANCandPNCserviceswillbe covered under the outpatient at the PHC level. ➢ Management of complications for the newborn will be charged separately from the mother including but not limitedtosepsis, jaundice, prematurity, necrotising enterocolitis, atdailyrebateratesforinpatient services."
