fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Health education and wellness, counselling, and ongoing support as needed.","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Consultation, diagnosis, and treatment","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,Prescribed laboratory investigations,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Basic radiologicalexaminations including X-rays, ultrasounds.","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Prescription, drug administration and dispensing","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,Management of acute and chronic conditions for endemic / local cases,"LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"Management of NCDs, enteric infections; neglected tropical","LEVEL 2, 3 and level 4 primary health care referral facility designated by the Authority",,,900.0,[],"['Each facility will be mapped to a Primary Care Network.', 'All registered households will be mapped to a PCN.', 'The Global budget shall be allocated based on the population in the PCN.', 'The Global Budget allocation to the PCN shall be made quarterly.', 'Distribution of the Funds shall be done at the end of the quarter based on patient visits, weighted by disease treated.', 'ARVs, anti-malarials, anti-TBs, and associated tests, family planning commodities, KEPI vaccines will be provided at public facilities, and faith']",block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,"diseases(NTDs), STI’sand HIV / AIDS",,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,Screeningforcommonhealth conditions,,,,,[],['based & private facilities that report to the health information system.'],block
PRIMARY HEALTHCARE FUND,OUTPATIENT CARE SERVICES,Minorsurgicalproceduresand medical procedures including male circumcision.,,,,,[],['based & private facilities that report to the health information system.'],block
