service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
TARIFFS TO THE BENEFIT PACKAGE UNDER THE SOCIAL HEALTH INSURANCE ACT NO. 16,tariffs to the benefit package under the social health insurance act no 16,OTHER,,,included,,[],,,{},1,TARIFFS TO THE BENEFIT PACKAGE UNDER THE SOCIAL HEALTH INSURANCE ACT NO. 16,TARIFFS TO THE BENEFIT PACKAGE UNDER THE SOCIAL HEALTH INSURANCE ACT NO. 16,enhanced_text,LOW,False
PRIMARY HEALTHCARE FUND,primary healthcare fund,OTHER,,,included,,[],,,{},1,PRIMARY HEALTHCARE FUND,PRIMARY HEALTHCARE FUND,enhanced_text,LOW,False
OUTPATIENT CARE SERVICES,outpatient care services,OUTPATIENT,,,included,,[],,,{},1,OUTPATIENT CARE SERVICES,OUTPATIENT CARE SERVICES,enhanced_text,LOW,False
"Health education and wellness,",health education and wellness,OTHER,,,included,,[],,,{},1,"Health education and wellness,","Health education and wellness,",enhanced_text,LOW,False
annum Primary Care Network.,annum primary care network,OTHER,,,included,,"[1, 2, 3]",,,{},1,annum Primary Care Network.,annum Primary Care Network.,enhanced_text,LOW,False
"counselling, and ongoing support as",counselling and ongoing support as,OTHER,,,included,,[],,,{},1,"counselling, and ongoing support as","counselling, and ongoing support as",enhanced_text,LOW,False
"➢ Consultation, diagnosis, and",consultation diagnosis and,OUTPATIENT,,,included,,[],,,{},1,"➢ Consultation, diagnosis, and","➢ Consultation, diagnosis, and",enhanced_text,LOW,False
➢ Prescribed laboratory,prescribed laboratory,OTHER,,,included,,[],,,{},1,➢ Prescribed laboratory,➢ Prescribed laboratory,enhanced_text,LOW,False
"investigations LEVEL 2, 3 and level 4 primary",investigations level 2 3 and level 4 primary,OTHER,,,included,Level 2,"[2, 4]",,,{},1,"investigations LEVEL 2, 3 and level 4 primary","investigations LEVEL 2, 3 and level 4 primary",enhanced_text,LOW,False
"➢ ARVs, HIV testing and PCN shall be made quarterly.",arvs hiv testing and pcn shall be made quarterly,OTHER,,,included,,[],,,{},1,"➢ ARVs, HIV testing and PCN shall be made quarterly.","➢ ARVs, HIV testing and PCN shall be made quarterly.",enhanced_text,LOW,False
➢ Basic radiological examinations health care referral facility,basic radiological examinations health care referral facility,OTHER,,,included,,[],,,{},1,➢ Basic radiological examinations health care referral facility,➢ Basic radiological examinations health care referral facility,enhanced_text,LOW,False
"follow up tests, family ➢ Distribution of the Funds shall be",follow up tests family distribution of the funds shall be,OTHER,,,included,,[],,,{},1,"follow up tests, family ➢ Distribution of the Funds shall be","follow up tests, family ➢ Distribution of the Funds shall be",enhanced_text,LOW,False
"➢ Prescription, drug administration",prescription drug administration,OTHER,,,included,,[],,,{},1,"➢ Prescription, drug administration","➢ Prescription, drug administration",enhanced_text,LOW,False
"malarial medication and on patient visits, weighted by disease",malarial medication and on patient visits weighted by disease,OTHER,,,included,,[],,,{},1,"malarial medication and on patient visits, weighted by disease","malarial medication and on patient visits, weighted by disease",enhanced_text,LOW,False
and dispensing,and dispensing,OTHER,,,included,,[],,,{},1,and dispensing,and dispensing,enhanced_text,LOW,False
"testing, anti TBs and treated.",testing anti tbs and treated,OTHER,,,included,,[],,,{},1,"testing, anti TBs and treated.","testing, anti TBs and treated.",enhanced_text,LOW,False
➢ Management of acute and chronic,management of acute and chronic,OTHER,,,included,,[],,,{},1,➢ Management of acute and chronic,➢ Management of acute and chronic,enhanced_text,LOW,False
"testing, KEPI vaccines, as ➢ ARVs, antimalarials, anti TBs, and",testing kepi vaccines as arvs antimalarials anti tbs and,OTHER,,,included,,[],,,{},1,"testing, KEPI vaccines, as ➢ ARVs, antimalarials, anti TBs, and","testing, KEPI vaccines, as ➢ ARVs, antimalarials, anti TBs, and",enhanced_text,LOW,False
"provided in the guidelines, associated tests, family planning",provided in the guidelines associated tests family planning,OTHER,,,included,,[],,,{},1,"provided in the guidelines, associated tests, family planning","provided in the guidelines, associated tests, family planning",enhanced_text,LOW,False
"➢ Management of NCDs, enteric",management of ncds enteric,OTHER,,,included,,[],,,{},1,"➢ Management of NCDs, enteric","➢ Management of NCDs, enteric",enhanced_text,LOW,False
"will be offered at no cost to commodities, KEPI vaccines will be",will be offered at no cost to commodities kepi vaccines will be,OTHER,0.0,,included,,[],,,{},1,"will be offered at no cost to commodities, KEPI vaccines will be","will be offered at no cost to commodities, KEPI vaccines will be",enhanced_text,MEDIUM,True
